Indice,Fecha,ID_aerolinea,Matricula,Num_vuelo,ID_Origgen_Seq,Origen,ID_Destino_Seq,Destino,Hora_salida,Retraso_Salida,Hora_llegada,Retraso_llegada,Retraso_Clima
61,08/01/2018,19805,N805AW,1641,1105703,CLT,1324402,MEM,1926,17,2111,82,0
62,08/01/2018,19805,N837AW,1642,1143302,DTW,1105703,CLT,827,-1,1024,2,4.030194512
63,08/01/2018,19805,N659AW,1643,1105703,CLT,1039707,ATL,931,-4,1046,-9,4.030194512
64,08/01/2018,19805,N914UY,1644,1474703,SEA,1129806,DFW,923,0,1504,-16,4.030194512
65,08/01/2018,19805,N708UW,1645,1105703,CLT,1449202,RDU,2056,46,2153,49,46
66,08/01/2018,19805,N584UW,1646,1463502,RSW,1105703,CLT,813,-5,1007,-11,4.030194512
69,08/01/2018,19805,N927UW,1648,1105703,CLT,1410005,PHL,2231,134,1,117,0
70,08/01/2018,19805,N126UW,1649,1127805,DCA,1320402,MCO,1743,-7,2012,-7,4.030194512
71,08/01/2018,19805,N126UW,1649,1320402,MCO,1127805,DCA,2118,7,2332,2,4.030194512
72,08/01/2018,19805,N519UW,1650,1105703,CLT,1393006,ORD,1321,6,1418,-10,4.030194512
73,08/01/2018,19805,N913US,1651,1467903,SAN,1105703,CLT,715,3,1503,-1,4.030194512
74,08/01/2018,19805,N186US,1652,1393006,ORD,1410005,PHL,849,-1,1156,3,4.030194512
75,08/01/2018,19805,N822AW,1653,1226603,IAH,1289208,LAX,828,78,1012,82,0
76,08/01/2018,19805,N562UW,1654,1129202,DEN,1105703,CLT,121,0,620,-9,4.030194512
77,08/01/2018,19805,N957UW,1655,1410005,PHL,1295304,LGA,2021,6,2109,-13,4.030194512
78,08/01/2018,19805,N963UW,1656,1104205,CLE,1410005,PHL,555,-5,733,5,4.030194512
80,08/01/2018,19805,N923US,1658,1410702,PHX,1410005,PHL,2231,1,602,-1,4.030194512
81,08/01/2018,19805,N922US,1659,1105703,CLT,1477104,SFO,1639,9,1904,6,4.030194512
82,08/01/2018,19805,N170US,1660,1129806,DFW,1320402,MCO,2017,37,2334,18,0
83,08/01/2018,19805,N837AW,1661,1105703,CLT,1226603,IAH,1533,39,1708,37,0
84,08/01/2018,19805,N837AW,1661,1226603,IAH,1105703,CLT,1743,21,2208,64,0
85,08/01/2018,19805,N945UW,1662,1039707,ATL,1295304,LGA,1930,-7,2158,-8,4.030194512
86,08/01/2018,19805,N104UW,1663,1105703,CLT,1161802,EWR,2332,37,108,25,9
87,08/01/2018,19805,N553UW,1665,1288903,LAS,1105703,CLT,556,-5,1331,8,4.030194512
88,08/01/2018,19805,N977UY,1666,1486903,SLC,1105703,CLT,18,-2,606,-10,4.030194512
89,08/01/2018,19805,N178US,1667,1474703,SEA,1129806,DFW,748,2,1349,-1,4.030194512
90,08/01/2018,19805,N192UW,1668,1105703,CLT,1393006,ORD,737,1,826,-25,4.030194512
91,08/01/2018,19805,N663AW,1669,1161802,EWR,1105703,CLT,502,2,651,1,4.030194512
92,08/01/2018,19805,N712US,1670,1410005,PHL,1463502,RSW,1344,-6,1640,7,4.030194512
93,08/01/2018,19805,N712US,1670,1463502,RSW,1410005,PHL,1751,36,2043,39,0
94,08/01/2018,19805,N921US,1671,1289208,LAX,1410702,PHX,2233,180,2353,173,0
95,08/01/2018,19805,N921US,1671,1410702,PHX,1289208,LAX,1957,177,2130,175,0
96,08/01/2018,19805,N668AW,1672,1530402,TPA,1410702,PHX,728,-2,908,11,4.030194512
97,08/01/2018,19805,N182UW,1673,1410005,PHL,1320402,MCO,241,342,454,315,0
98,08/01/2018,19805,N562UW,1674,1105703,CLT,1289208,LAX,748,-2,959,-11,4.030194512
99,08/01/2018,19805,N562UW,1674,1289208,LAX,1105703,CLT,1117,-4,1949,25,0
100,08/01/2018,19805,N576UW,1675,1105703,CLT,1129202,DEN,1158,-1,1326,-6,4.030194512
101,08/01/2018,19805,N576UW,1675,1129202,DEN,1410702,PHX,1455,-1,1604,13,4.030194512
102,08/01/2018,19805,N102UW,1676,1530402,TPA,1105703,CLT,456,-5,630,-11,4.030194512
103,08/01/2018,19805,N916US,1677,1393006,ORD,1105703,CLT,1224,206,1516,195,0
104,08/01/2018,19805,N561UW,1678,1105703,CLT,1410702,PHX,802,17,917,5,4.030194512
105,08/01/2018,19805,N552UW,1679,1393006,ORD,1410702,PHX,1028,31,1201,27,0
106,08/01/2018,19805,N575UW,1680,1410005,PHL,1393006,ORD,206,281,252,234,0
107,08/01/2018,19805,N195UW,1681,1410702,PHX,1474703,SEA,2113,38,35,59,0
108,08/01/2018,19805,N567UW,1682,1105703,CLT,1330303,MIA,2319,39,115,33,33
109,08/01/2018,19805,N809AW,1683,1042302,AUS,1410005,PHL,1411,-7,1843,-12,4.030194512
110,08/01/2018,19805,N809AW,1683,1410005,PHL,1042302,AUS,1046,-4,1327,-9,4.030194512
111,08/01/2018,19805,N768US,1684,1410005,PHL,1039707,ATL,1321,41,1542,54,0
112,08/01/2018,19805,N760US,1685,1105703,CLT,1099402,CHS,2258,33,2351,25,25
113,08/01/2018,19805,N961UW,1686,1410005,PHL,1449202,RDU,1040,-6,1152,-27,4.030194512
114,08/01/2018,19805,N961UW,1686,1449202,RDU,1410005,PHL,1251,-9,1407,-21,4.030194512
115,08/01/2018,19805,N712US,1687,1105703,CLT,1410005,PHL,1118,-2,1248,-13,4.030194512
116,08/01/2018,19805,N184US,1688,1389101,ONT,1410702,PHX,602,2,727,10,4.030194512
117,08/01/2018,19805,N834AW,1689,1410702,PHX,1412202,PIT,1551,22,2321,55,0
118,08/01/2018,19805,N537UW,1690,1052906,BDL,1105703,CLT,610,-3,814,-6,4.030194512
119,08/01/2018,19805,N769US,1691,1039707,ATL,1393006,ORD,1743,10,1900,-5,4.030194512
120,08/01/2018,19805,N769US,1691,1393006,ORD,1127805,DCA,2009,-6,2311,-2,4.030194512
121,08/01/2018,19805,N716UW,1693,1127805,DCA,1530402,TPA,1736,37,1943,12,4.030194512
122,08/01/2018,19805,N578UW,1694,1410005,PHL,1405702,PDX,1829,-1,2229,48,0
123,08/01/2018,19805,N545UW,1695,1105703,CLT,1320402,MCO,1204,44,1346,49,0
124,08/01/2018,19805,N545UW,1695,1320402,MCO,1105703,CLT,1429,39,1603,23,0
125,08/01/2018,19805,N922US,1696,1410702,PHX,1105703,CLT,845,18,1548,11,4.030194512
126,08/01/2018,19805,N836AW,1697,1105703,CLT,1323002,MDT,2231,22,2350,15,15
127,08/01/2018,19805,N553UW,1698,1105703,CLT,1330303,MIA,1437,8,1645,8,4.030194512
128,08/01/2018,19805,N808AW,1699,1104205,CLE,1105703,CLT,1037,-9,1211,-9,4.030194512
129,08/01/2018,19805,N808AW,1699,1105703,CLT,1104205,CLE,752,-8,923,-15,4.030194512
130,08/01/2018,19805,N818AW,1700,1336003,MLB,1105703,CLT,855,8,1045,10,4.030194512
131,08/01/2018,19805,N749US,1702,1289208,LAX,1410702,PHX,1142,23,1324,35,0
132,08/01/2018,19805,N749US,1702,1410702,PHX,1289208,LAX,842,7,1038,9,4.030194512
133,08/01/2018,19805,N119US,1703,1430705,PVD,1105703,CLT,559,-1,801,-9,4.030194512
135,08/01/2018,19805,N818AW,1705,1410005,PHL,1349505,MSY,2148,38,2400,47,0
136,08/01/2018,19805,N656AW,1708,1105703,CLT,1430705,PVD,1624,7,1820,1,4.030194512
137,08/01/2018,19805,N656AW,1708,1430705,PVD,1105703,CLT,1910,-5,2137,14,4.030194512
138,08/01/2018,19805,N725UW,1709,1105703,CLT,1169706,FLL,1424,-1,1628,7,4.030194512
139,08/01/2018,19805,N725UW,1709,1169706,FLL,1105703,CLT,1707,1,1927,8,4.030194512
140,08/01/2018,19805,N768US,1710,1410005,PHL,1449202,RDU,817,2,954,11,4.030194512
141,08/01/2018,19805,N768US,1710,1449202,RDU,1410005,PHL,1032,8,1156,1,4.030194512
142,08/01/2018,19805,N753US,1712,1105703,CLT,1468305,SAT,1307,-3,1445,-13,4.030194512
143,08/01/2018,19805,N724UW,1714,1412202,PIT,1105703,CLT,654,-7,821,-9,4.030194512
144,08/01/2018,19805,N766US,1716,1129806,DFW,1412202,PIT,702,-3,1046,1,4.030194512
145,08/01/2018,19805,N766US,1716,1412202,PIT,1129806,DFW,1127,-3,1320,-5,4.030194512
146,08/01/2018,19805,N107US,1717,1082106,BWI,1105703,CLT,1351,-8,1515,-21,4.030194512
147,08/01/2018,19805,N107US,1717,1105703,CLT,1082106,BWI,1142,-1,1301,-13,4.030194512
148,08/01/2018,19805,N126UW,1718,1039707,ATL,1105703,CLT,655,-5,820,-1,4.030194512
149,08/01/2018,19805,N955UW,1719,1039707,ATL,1295304,LGA,653,-7,906,-9,4.030194512
150,08/01/2018,19805,N181UW,1721,1105703,CLT,1289208,LAX,2216,71,18,71,71
151,08/01/2018,19805,N913US,1722,1295304,LGA,1105703,CLT,1934,35,2247,87,0
153,08/01/2018,19805,N961UW,1724,1078502,BTV,1410005,PHL,753,-12,915,-20,4.030194512
154,08/01/2018,19805,N722US,1725,1052906,BDL,1105703,CLT,1654,-8,2031,77,0
155,08/01/2018,19805,N722US,1725,1105703,CLT,1052906,BDL,1423,-2,1604,-18,4.030194512
156,08/01/2018,19805,N924US,1727,1072102,BOS,1105703,CLT,1306,2,1541,12,4.030194512
157,08/01/2018,19805,N105UW,1728,1105703,CLT,1072102,BOS,1821,116,2037,112,93
158,08/01/2018,19805,N951UW,1729,1329604,MHT,1410005,PHL,537,-3,709,-5,4.030194512
159,08/01/2018,19805,N111US,1730,1410005,PHL,1039707,ATL,1833,22,2114,32,0
160,08/01/2018,19805,N711UW,1731,1099402,CHS,1105703,CLT,520,-7,612,-18,4.030194512
161,08/01/2018,19805,N918US,1732,1105703,CLT,1463502,RSW,726,-4,909,-6,4.030194512
162,08/01/2018,19805,N918US,1732,1463502,RSW,1105703,CLT,1002,-6,1209,2,4.030194512
163,08/01/2018,19805,N540UW,1733,1393006,ORD,1410005,PHL,1950,200,2317,221,0
164,08/01/2018,19805,N713UW,1734,1430705,PVD,1410005,PHL,754,-7,858,-22,4.030194512
165,08/01/2018,19805,N703UW,1735,1105703,CLT,1330303,MIA,701,-4,845,-21,4.030194512
166,08/01/2018,19805,N193UW,1736,1105703,CLT,1405702,PDX,2054,49,2311,41,41
167,08/01/2018,19805,N754UW,1739,1330303,MIA,1105703,CLT,2253,73,50,56,0
168,08/01/2018,19805,N545UW,1740,1105703,CLT,1467903,SAN,1705,26,1846,16,0
169,08/01/2018,19805,N173US,1741,1105703,CLT,1463502,RSW,2306,34,48,27,0
171,08/01/2018,19805,N155UW,1743,1129202,DEN,1105703,CLT,1555,-7,2108,-15,4.030194512
172,08/01/2018,19805,N155UW,1743,1410702,PHX,1129202,DEN,1215,-5,1456,-11,4.030194512
173,08/01/2018,19805,N572UW,1744,1129806,DFW,1410702,PHX,232,237,249,230,0
174,08/01/2018,19805,N721UW,1745,1127805,DCA,1530402,TPA,1942,12,2219,23,0
175,08/01/2018,19805,N801AW,1746,1105703,CLT,1295304,LGA,552,-8,738,-12,4.030194512
176,08/01/2018,19805,N801AW,1746,1295304,LGA,1105703,CLT,828,-7,1031,-10,4.030194512
177,08/01/2018,19805,N109UW,1747,1410005,PHL,1449202,RDU,2105,-2,2228,-13,4.030194512
178,08/01/2018,19805,N119US,1748,1105703,CLT,1530402,TPA,1443,2,1617,-6,4.030194512
179,08/01/2018,19805,N119US,1748,1530402,TPA,1105703,CLT,1706,-2,1915,10,4.030194512
180,08/01/2018,19805,N812AW,1749,1105703,CLT,1412202,PIT,2256,151,10,140,28
181,08/01/2018,19805,N769US,1750,1105703,CLT,1324402,MEM,937,2,1029,6,4.030194512
182,08/01/2018,19805,N769US,1750,1324402,MEM,1105703,CLT,1109,4,1343,-15,4.030194512
183,08/01/2018,19805,N112US,1751,1410005,PHL,1468305,SAT,1844,4,2243,60,0
184,08/01/2018,19805,N713UW,1752,1069302,BNA,1410005,PHL,1156,-4,1507,-1,4.030194512
185,08/01/2018,19805,N713UW,1752,1410005,PHL,1069302,BNA,1006,-3,1114,-3,4.030194512
186,08/01/2018,19805,N128UW,1753,1105703,CLT,1412202,PIT,1841,16,2001,7,4.030194512
187,08/01/2018,19805,N737US,1754,1105703,CLT,1245102,JAX,1148,-2,1309,-7,4.030194512
188,08/01/2018,19805,N737US,1754,1245102,JAX,1105703,CLT,1356,-5,1522,-8,4.030194512
189,08/01/2018,19805,N561UW,1755,1105703,CLT,1052906,BDL,1916,42,2116,40,40
190,08/01/2018,19805,N831AW,1756,1105703,CLT,1042302,AUS,1613,-3,1801,-3,4.030194512
191,08/01/2018,19805,N757UW,1758,1129806,DFW,1324402,MEM,2109,29,2248,40,0
192,08/01/2018,19805,N831AW,1760,1042302,AUS,1410702,PHX,1844,-10,1926,9,4.030194512
193,08/01/2018,19805,N802AW,1761,1129806,DFW,1412202,PIT,2012,107,2347,104,0
194,08/01/2018,19805,N154UW,1763,1289208,LAX,1288903,LAS,2214,64,2332,66,0
195,08/01/2018,19805,N665AW,1764,1410005,PHL,1042302,AUS,2356,206,228,197,0
196,08/01/2018,19805,N976UY,1765,1393006,ORD,1410702,PHX,456,-4,614,-18,4.030194512
197,08/01/2018,19805,N184US,1765,1410702,PHX,1129806,DFW,821,46,1239,33,0
198,08/01/2018,19805,N575UW,1766,1477104,SFO,1410005,PHL,541,-1,1359,-16,4.030194512
199,08/01/2018,19805,N763US,1767,1127805,DCA,1530402,TPA,1342,-2,1548,-26,4.030194512
200,08/01/2018,19805,N763US,1767,1530402,TPA,1410005,PHL,1738,35,2002,19,0
201,08/01/2018,19805,N946UW,1768,1226603,IAH,1410005,PHL,540,-4,949,-20,4.030194512
202,08/01/2018,19805,N954UW,1769,1410005,PHL,1329604,MHT,2154,50,2305,27,0
203,08/01/2018,19805,N659AW,1770,1129806,DFW,1379608,OAK,2250,15,32,22,0
204,08/01/2018,19805,N151UW,1771,1129806,DFW,1288903,LAS,1925,30,2033,46,0
205,08/01/2018,19805,N713UW,1772,1410005,PHL,1039707,ATL,2038,-7,2253,-11,4.030194512
206,08/01/2018,19805,N926UW,1773,1105703,CLT,1530402,TPA,2235,22,12,22,9
207,08/01/2018,19805,N662AW,1774,1188402,GEG,1129806,DFW,1340,-1,1900,-18,4.030194512
208,08/01/2018,19805,N721UW,1775,1105703,CLT,1127805,DCA,1653,14,1806,-9,4.030194512
209,08/01/2018,19805,N153UW,1776,1320402,MCO,1410005,PHL,1421,-4,1644,-20,4.030194512
210,08/01/2018,19805,N153UW,1776,1410005,PHL,1320402,MCO,1048,-2,1319,-11,4.030194512
211,08/01/2018,19805,N963UW,1779,1348702,MSP,1410005,PHL,1151,-2,1520,-12,4.030194512
212,08/01/2018,19805,N963UW,1779,1410005,PHL,1348702,MSP,934,22,1112,-1,4.030194512
213,08/01/2018,19805,N172US,1780,1477104,SFO,1410005,PHL,3,38,817,24,0
214,08/01/2018,19805,N578UW,1781,1129202,DEN,1410005,PHL,1144,14,1731,16,0
215,08/01/2018,19805,N578UW,1781,1410005,PHL,1129202,DEN,820,-5,1031,-9,4.030194512
216,08/01/2018,19805,N191UW,1782,1105703,CLT,1295304,LGA,1138,3,1321,-17,4.030194512
217,08/01/2018,19805,N191UW,1782,1295304,LGA,1105703,CLT,1431,-4,1711,18,0
218,08/01/2018,19805,N576UW,1783,1477104,SFO,1105703,CLT,2217,-3,611,-9,4.030194512
219,08/01/2018,19805,N543UW,1784,1105703,CLT,1477104,SFO,1912,43,2243,104,43
220,08/01/2018,19805,N510UW,1785,1410005,PHL,1402702,PBI,2128,48,2,35,0
221,08/01/2018,19805,N178US,1786,1410005,PHL,1129202,DEN,2046,8,2332,42,0
222,08/01/2018,19805,N945UW,1787,1410005,PHL,1039707,ATL,1636,-6,1845,-12,4.030194512
223,08/01/2018,19805,N523UW,1788,1105703,CLT,1295304,LGA,852,17,1039,9,4.030194512
224,08/01/2018,19805,N523UW,1788,1295304,LGA,1105703,CLT,1131,1,1340,-5,4.030194512
225,08/01/2018,19805,N4032T,2512,1330303,MIA,1143302,DTW,649,-6,936,-21,4.030194512
226,08/01/2018,19805,N975AN,2513,1349505,MSY,1393006,ORD,809,-7,1041,-12,4.030194512
227,08/01/2018,19805,N948NN,2515,1129806,DFW,1484306,SJU,1716,36,2309,35,0
